BEZEICHNUNG_OFFIZIELL;geopos
Fontanney;46.3183199678,6.98230006469
L'Aberieu (Wasserfassung);46.0997461283,6.99347973327
Ollon;46.2968300216,6.99310004235
Muriaux;47.243690024,6.98547994223
Essence Eschenard Bex;46.2448116235,6.99991980017
Rennaz (Leysin);46.3273600192,7.0008699286
La Roulaz;46.3313199793,7.0014799873
St-Maurice sud;46.2085699569,7.00589995058
Essence Chabod St-Maurice;46.2071227944,7.00772555968
Versmont;46.3414199628,7.00695005038
La Ruaz;46.2530800049,7.00771996001
Essence Tamoil Bex;46.2524452123,7.00824785338
St-Imier;47.1516999596,7.00122995164
13 EP TPC Leysin;46.3407089648,7.0144840683
Marin-Epagnier;47.0090999895,7.01059005893
Villeret, Nivarox;47.1572925565,7.01291813957
Vuadens-Nord;46.6259199644,7.01750996468
Evionnaz;46.1692500232,7.02550997696
Boncourt;47.4926300369,7.01656003416
Foyer Dents-du-Midi;46.2563900356,7.02983999268
Essence ET Miniprix Cottens;46.7522480941,7.03091071414
Cornaux fin des voies;47.0306299929,7.02949998869
Vernayaz usine;46.1339289335,7.03626217543
Vernayaz MC;46.1304141826,7.04460764789
13 EP TMR Ravoire;46.1016411569,7.04772916027
Lessoc;46.5073800381,7.05255005586
Les Planches (Aigle);46.3553399825,7.05527002339
Grandgourt;47.4699200287,7.04810995575
Gryon;46.2735800314,7.05971005426
Neirivue;46.5282900464,7.06156001812
Les Fumeaux;46.1100803511,7.06460813618
Courchavon, publicar;47.439528882,7.0564203426
La Bâtiaz;46.1072799892,7.06972002189
Col-de-Bretaye;46.3219299996,7.07361003279
Courtelary;47.1756200066,7.06880998529
Bovernier;46.0785446938,7.08213304446
Avry;46.7850912168,7.07943400395
Porrentruy;47.4209099648,7.08009001084
Sur-le-Buis;46.353299975,7.10062998667
Ins;46.9998300206,7.09955994941
18 PU Eurobus, Erlach;47.0441494794,7.09945864911
18 PU Wieland, Murten;46.9158120179,7.10545566379
Broc-Fabrique;46.6054200052,7.10932995805
Givisiez dépôt;46.8166602914,7.12006617382
Sugiez;46.9641300459,7.11934992972
Alle;47.4241400311,7.12835000893
Muntelier-Löwenberg;46.9379700006,7.13326000773
Sembrancher;46.0769024941,7.14575150846
Beurnevésin, rebroussement;47.4896216729,7.14018793739
Brüttelen;47.0206000089,7.14829995184
Cressier FR;46.9001799705,7.1497200245
17 EP Froidevaux St-Ursanne;47.3596867297,7.14875542931
Essence EP Doubs St-Ursanne;47.3667250431,7.16534480949
Sonceboz-Sombeval;47.1951399892,7.16876999472
Tunnel de Glovelier Nord;47.350571956,7.1756267283
Siselen Ausweiche;47.0326507365,7.18280998557
Flendruz;46.4820899676,7.18606999188
C-Container 10-2014;46.9746785198,7.19161651159
Schaltanlagencontainer 01;46.9750678629,7.1927974976
Kerzers;46.9750700272,7.19279998464
Tunnel de Pierre-Pertuis;47.2118374809,7.19483225082
Vounetse (La Scie);46.6263661714,7.20816605589
Mörigen;47.0856499873,7.21222999869
Sutz;47.1018700324,7.21942005937
Chamoson, Némiaz;46.2114473211,7.22354077025
Sutz Weiche 11 (AnG);47.1034761459,7.22129279476
Ipsach Herdi;47.1123700191,7.22892994836
Verbier (Medran 1);46.0935778243,7.23393256005
Champsec école;46.0577988798,7.24170856532
Chalberhöni (Vorders Eggli);46.4536068537,7.24236687945
17 Garage Bassecourt;47.338423527,7.23974129021
Tankstelle PU Klopfstein Laup;46.9007967184,7.24475493097
18 Garage Laupen, Laupen;46.9002893561,7.24793271637
Croix-des-Ruinettes (Medran 1);46.091199816,7.25276627208
Les Attelas (Lac-des-Vaux);46.0992226648,7.26904475561
Biel/Bienne RB;47.1432699671,7.26822002967
Malleray, Ecole;47.2388866055,7.27120301657
18 PU Autoverkehr, Aarberg;47.0413756768,7.27382532104
Gstaad;46.4748000174,7.28441007039
13 Parcage CO Derborence Evéq;46.2184910698,7.29796449549
Rosshäusern;46.9343300338,7.29685998011
13 EP Evéquoz Erde;46.2483713804,7.30243830296
Studen Auto Abstellung;47.1080231568,7.30661974184
Flamatt;46.8884800044,7.31957003651
Suberg-Grossaffoltern;47.0587699854,7.33900006018
Schwarzenburg;46.8191899749,7.34283006785
Mulhouse-Ville;47.7425375103,7.3426226729
Tunnel de la Verrerie;47.2651808478,7.35632035183
Schwarzwasserbrücke;46.8628000083,7.36235997783
Thyon (Mayens-de-l'Hôpital);46.1800272228,7.36666894898
Zweisimmen;46.5530900011,7.37532003597
13 Garage Régie Les Agettes;46.2087748067,7.37691012086
22 PU Tritten, Zweisimmen;46.5703800638,7.37712533584
Galgenbühl (Agl);46.5703800302,7.37821995754
Scolaire Rte d'Arbaz;46.2645593721,7.38189295262
Bern, Bümpliz (Wds);46.9378269737,7.38118944298
Grimisuat, Poste;46.2615928253,7.38750543508
18 PU Steiner AB, Schnottwil;47.1126532367,7.39079147443
Hasenburg;47.3918599204,7.39177742157
Bern Bümpliz Süd;46.9374800339,7.39522996077
Eschert, Ecole GS;47.2768455487,7.39688180449
Gasel;46.9009400157,7.40069996119
Moos;46.9100099933,7.40118995704
18 PU LüthiBus, Schulbus;46.8349837961,7.40195891453
18 PU LüthiBus, Hinterfultige;46.8349839761,7.40195917655
La Bâté (Plan-des-Conches);46.3266011168,7.40263566178
17 EP Tobler GS Belprahon;47.2793930711,7.4034750231
Bern Europaplatz;46.9441999929,7.40611995167
Holligen Schaltposten;46.9464909599,7.40829065846
Bern Fischermätteli;46.9417600289,7.41212994164
17 EP Tobler Rebeuvelier;47.3250615281,7.41612986502
24 Garage Kleinlützel;47.4253122053,7.41684122677
Grandval, Ecole GS;47.2830494305,7.42324645811
Bern, Depot Eigerplatz;46.9416644664,7.43054215677
Lenk Balmen;46.443558935,7.43102862185
Bern, Weissenbühl (Tram) (Wds);46.9360066561,7.43294634446
Bern Effingerstrasse 15;46.9456855861,7.43519119887
Boden;46.4707700199,7.43538004992
Bern Mittelstr 43 Gebäude D;46.9557422048,7.43563704293
18 Garage Bern, PASt;46.9492572878,7.43826570519
Bern Henkerbrünnli;46.9535200147,7.4388500531
Bern, Bahnhof (Vzw);46.9474667156,7.43973584471
Crémines, Ecole GS;47.2831223447,7.4417778919
Scolaire Bif. Vernasse;46.2882947777,7.44182915598
Lenk im Simmental;46.4585799813,7.44351995458
Bern Stellwerk 1;46.9479253594,7.44460906008
Corcelles BE;47.2856199932,7.45035996719
Courchapoix, école;47.3510385206,7.45415540979
Selzach;47.2006199547,7.45664000115
13 EP Mabillard Trionnaz;46.2898678944,7.45684228922
Steinibach;46.983329957,7.45753005167
Scolaire Le Cergnou;46.2860712172,7.45790532526
Crans-s.-S., 3 Sapins;46.3037211239,7.45812064149
Sierentz;47.6562411909,7.45991724672
Crans-s.-S., Dent Blanche;46.3146232926,7.46010947509
Oberzollikofen;46.9969499943,7.46163000885
Breitenacker (Spw);46.9190700034,7.46246005053
UNO (fikt.);46.9682800235,7.46299993774
24 PU Schumacher Metzerlen;47.4644453085,7.46352306419
36 PU Schwizer Goldach;47.4677749664,9.45978860342
Sargans;47.0453599813,9.4453999633
Sargans Ost;47.0431999614,9.44894999747
38 Garage Tumegl/Tomils;46.7628093543,9.44022773283
Sargans Schleife West (Abzw);47.0401199658,9.45415996994
Domat/Ems;46.833140008,9.45315999028
Sargans Schleife (Verzw);47.0418699956,9.46505000356
Haag-Gams;47.2073500262,9.47885995897
Tankstelle Agrola Buchs SG;47.165058026,9.47887075354
Buchs SG Zement;47.1684504449,9.4798709614
Rorschach Hafen;47.4786000231,9.49289992896
Felsberg;46.8431000417,9.48125995078
Felsberg Calanda;46.8420926975,9.48317609069
Warmesberg;47.3653700307,9.51356000012
Sandbüchel o Seebleiche;47.4765933151,9.51879831297
66 Garage Werkhof Vaduz;47.1336062563,9.51466531476
Foral (B);46.8465100414,9.50446998569
38 Garage Regie Mutten;46.6783332234,9.49970747715
36 Garage Heiden Neue;47.4469829336,9.5295834149
36 PU Gessinger St.Margr'berg;46.9791059851,9.51185877967
Passmal;46.6881963269,9.50089698853
Vaduz, Herrengasse;47.1419614152,9.51997925522
36 Garage Heiden Alte;47.445600717,9.53634624334
Altstätten Stadt;47.3767600201,9.53730996224
38 Garage Chur;46.8538754918,9.52612075452
38 Garage Chur (St. Moritz);46.8539023188,9.52613491241
Solis;46.6811199705,9.52487001439
Chur Unterwerk Haldenstein;46.8734869278,9.5324738017
Sassal;46.8387705549,9.54472172717
Trimmis;46.9081299708,9.55146005483
Untervaz-Trimmis;46.9189799597,9.55916998569
Tankstelle & Waschanlage St.;46.3342322266,9.5364365419
Igis;46.9498300422,9.56475997038
Hof;47.4558672446,9.59860293125
Malans alte Säge (B);46.9748399659,9.59962996916
38 PU Mark Juf;46.4450373,9.57964859443
Aulendorf;47.9529991725,9.64381144548
Brienz GR Blockstelle;46.6611239094,9.59636111896
Heerbrugg;47.4103899931,9.62724994429
St. Margrethen Unterwerk;47.4534555422,9.63965394711
Surava;46.6668600343,9.62094005661
Grüsch;46.9804899899,9.64578000479
Mundaditsch (Verzw);46.9769500033,9.65982001228
Lindau Hafen;47.5441764147,9.6841824956
38 PU Reptrans AG Bivio;46.4701260326,9.64960527314
Tankstelle PU Michael Peist;46.832721403,9.67359932772
Arosa;46.7832899694,9.67933000982
Filisur Nord;46.676990009,9.67615995294
Schiers;46.967989992,9.68836001725
Filisur;46.6753299706,9.68228995572
Schiers Schlangenboden;46.9610700394,9.70149995198
Furna;46.9397799638,9.70895000275
Cruschetta (B);46.6596100245,9.70741998793
Sagliaz (B);46.6222200244,9.75667995754
Muot;46.6073199886,9.75800994986
Pros da Darlux (2. Sekt. Tal);46.6225351725,9.77116486327
Weissfluhjoch (Weissfluhgipf.);46.8333105299,9.80490036048
Munt da S. Mur. (Randolins);46.5043343868,9.79992140479
Munt da S. Mur. (Salastrains);46.5047980474,9.80142747557
Höhenweg (Luftseilb. Talst.);46.8195026355,9.82277856107
Höhenweg (2. Sekt. Talst.);46.8195058547,9.82348664789
Signal (Munt da S. Murezzan);46.4945458744,9.82173916491
Marguns (Plateau Nair);46.5159728806,9.82566777898
Serneus;46.8937100005,9.84322994177
Murtèl (Mandra);46.431847539,9.82415089681
Chantarella (Corviglia);46.501902865,9.8352265019
38 Garage St. Moritz (Chur);46.4890121355,9.83818728609
Davos Wolfgang;46.8319600217,9.85455003383
Madrisa (Schaffürggli);46.9015537795,9.86544100681
Klosters Platz;46.8692100198,9.88093994322
Samedan;46.5337600104,9.87363000466
S-chanf;46.6119399716,9.98182000842
Stablini;46.3734099822,10.0369100669
Cadera;46.3452700147,10.0513700429
Poschiavo Nord;46.3308833702,10.0533529585
Susch, scuola;46.7496298676,10.0790607367
Li Curt, St. Antonio Ex Asilo;46.3141577131,10.0604586037
Li Curt;46.3111899937,10.0631999428
Zernez;46.6976699651,10.0899399912
Le Prese (incrocio);46.2980599903,10.0747600419
38 Extern Silvestri Livigno;46.5374960885,10.1371245267
Campascio;46.2446700337,10.1316899556
Tirano;46.2151600218,10.1667500344
Ardez;46.7735399633,10.2010500656
Tankstelle PU Jenal Samnaun;46.9500711727,10.3698220498
38 PU Zegg Samnaun-Bus;46.9500711727,10.3698220498
38 PU Zegg Samnaun RöV;46.9500711727,10.3698220498
Alp Trida (Flimsattel);46.9778062167,10.3749679325
Samnaun-Ravaisch (Talst. I);46.9513172579,10.3752281522
38 PU Garage Müstair (Oswald);46.620177754,10.4459921604
Payerne 94;
Singen (Htw) 97;
Stutzegg-Tunnel Sisikon (UR);
Unterseen, Widimatt PAG;
Carlson Vernier Bladonnet;
Blansingen, Römerstrasse;
Chur RhB;
Boncourt 98;
Horgen, Pausenplatz;
Lausanne, En Marin PAG;
CH-Weit;
Bern MCS BLS-bls;
Hiltiberg (B);
Sorvilier Unterwerk (BKW);
Meggenmühle (Spw);
Löwenberg FstZ;
Riedheim (D);
Haagen (Baden), Sportplatz;
Degerfelden, Abzw Wehr;
ECORT Testfiliale 8 Sabre D;
Marin-Epagnier équipe mobile;
Hésingue, Le Ried;
Maulburg, Teichmattstrasse;
Saignelégier, La Theurre CJ;
Bern MCS BLS-bn;
Weil (Rhein), Friedhof;
Hésingue, Raisins;
Frossard Basel Hauptsitz;
Pallanza, tribunale;
rts/fts Genève;
Orsingen (D);
Oberwinterthur 97;
Glattzentrum;
Emmenbrücke,StrassenkreuzARAG;
Pfäffikon SZ 97;
Brig Ent-/Versorgung;
Bern Uh-Anlage;
Ittigen Löchligut;
Hotelplan Glattbrugg TRS;
Frick 95;
STC London PDF;
Ebnit;
Steckenheim Rathaus 2;
UNO Linie 400, km 12.59;
Bahn FART;
Oberwinterthur DR;
STC Kornwestheim;
Carlson Baden Testfiliale;
Bassecourt, Colonel-Hoffm. CJ;
ePLight - tl;
fairtiq STI;
Brugg AG 95;
Bern Holligen 94;
bta first travel Steinhausen;
Weil (Rhein), Ost Zoll;
Glovelier, ZAM/rte de Boéc.CJ;
Oron-la-Ville,Pré à l'Abbé TP;
Marrone (dira);
app mobile TL;
Macugnaga, staffa;
Degerfelden, Niederdossenbach;
Helbling Gossau SG           O;
Schopfheim, Hirscheneck;
Montréal Central Station;
La Chaux-de-Fonds 96;
Pallanzeno, via Sempione;
Stetten, Neumatt;
Lyss BLS;
Campioli;
Carlson Railcenter Nyon;
Zürich DLR Feld E/Z;
Dusek Tours Brno;
Weinstadt-Endersbach Stettener;
Kembs, Route de Sierentz;
Göschenen 97;
fairtiq REGO;
Bus PAG;
FB_Automat;
Stansstad 98;
Altstätten SG 94;
Sargans Altes Unterwerk;
Käferberg (B);
Formazza, valdo;
Foretaille Convert/s-station;
Luino 94;
Hamburg-Langenfelde SA Lokber.;
Überlingen am Ried (D);
Duisburg-Ruhrort Hafen mob Equ;
Koblenz 94;
Omegna, via de amicis;
Emmen Hüsten Tunnel;
Loechle, Richardshaeuser;
Gelterkinden Süd;
Mundenheim Am Schwanen 2;
Luzern Schönheimtunnel (LU);
Bern T-Systems-TSI 2.1;
Santino;
Steinen, Schwimmbad;
Schuttannen;
Lyss Holzverladerampe;
Solothurn 97;
Mont-la-Ville, poste MBC;
Brig ZPG FO;
Mulhouse-Ville 96;
Bern Tests Work-Bench;
Waldkirch (D), Bahnhof;
Bern MCS SMtS;
Lupfig mobile Equipe;
Multen;
Pieve Vergonte, municipio;
Müllheim (Baden) (FQ);
Erbach Mauritiusstrasse;
Thun 97;
Bus BRER;
Rennaz, motel TPC;
Crystal Zug                  O;
Genève Balexert;
Genève-Aéroport 96;
Omegna, piazza Beltrami;
Niederselters Bundesstr. 8;
Payerne, La Coulaz;
Bern P-FI-CSA (Erst. RB);
Syens, Champ-du-Chêne PAG;
Biberbrugg 97;
Nenzingen (D);
Weil am Rhein 95;
Birs (B);
Rorgenwies (D);
Fribourg équipe mobile;
Samstagern 94;
Grüningen VZO Zentrale;
Golden Glades;
Lajoux JU, laiterie PAG;
Winterthur Bahnhof SBW;
Murten, Bernstrasse TPF;
Schopfheim, Schillerstrasse;
Mies (bif);
Monthey 94;
UNO Linie 400, km 11.8;
Lenzburg 97;
Hamburg Baumwall (U);
VVTirol (fiktiv);
Bartenheim, Rue des Puits;
Basistunnel;
Payerne 98;
Omegna, campo sportivo;
Oberwinterthur U-Anl Gleisfeld;
München-Laim SA Lokbereich;
BTI Polska Warszawa          O;
Bognanco, Gabbio;
Bonne-Fontaine NE;
Tunnel de Court;
Aegerten Tunnel NBS;
Nollingen, Untere Dorfstr.;
Linthal 96;
Schlieren, Brunngasse PAG;
S-POS-ZVV;
Glarus mobile Equipe;
Vallorbe TRAVYS;
Adrastea Viaggi Tirano;
Mundenheim Schillerschule 2;
Hergiswil Matt ZB;
Biel/Bienne mobile Equipe G-SR;
UNO Linie 673, km 28.1;
MAV-RB Budapest              O;
Buchs SG 98;
Zell i. W., Schopfheimerstr;
Mainz mobile Equipe;
PAG Mobilitätsplattform;
Rheinweiler, Kapellengrün;
Bauma 96;
Auslikon, Ober Balm PAG;
Le Locle, Technicum PAG;
Brünig-Hasliberg ZB;
Rueyres-les-Prés, bif. PAG;
Kreuzlingen THURBO KSC;
Neuchâtel-FUN;
Konstanz 97;
Bern Wylerfeld 94;
Hohe-Flum-Str./Gündenhausen;
Burgdorf mobile Equipe;
Embrach, Pausenplatz;
Huningue, Z.I. Nord;
Bern MCS öV-Connect/öV-Karte;
Wahlwies (D);
Zürich Wipkingertunnel Mitte;
Bauma 94;
Weisenbach, Bahnhof;
Romanshorn 95;
Voyagiste Plus Genève       BK;
Sallanches-Combloux-Megève(FQ);
Deerfield Beach;
Suna, imbarcadero;
Siegershausen SBB;
Hohlstrasse (B);
Münchenbuchsee BLS;
Domodossola, piazza repubblica;
Genève lavage defile B 24;
Hinwil Affeltrangen;
SRI  DaX (fiktiv);
Bremerhaven-Lehe mobile Equipe;
Omegna, ospedale;
Cavaglio, ponte Cavaglio;
Bern Holligen 98;
Basel Barfüsserplatz (VK BVB);
Bern 94;
Ebringen (D);
Bern Geschäftskunden West;
Les Genevez JU, bif.PrédamePA;
Meiringen ZB;
Cadenazzo 98;
RBL mobile Equipe;
La Chaux-de-Fonds 97;
Lörrach, Kinderspielplatz;
Chiasso/Iselle          TCV;
Zürich HB Löwenstr West TC 2;
Achkarren, WG;
Eisenbach (Taunus) Sonnenberg;
Frauenfeld Post;
Zürich Dienstgebäude Visiteur;
AdI zentrale Systeme P2001;
Minseln, Kindergarten;
Ferienverein Bern           BK;
Frutigen, Widi PAG;
Bèe;
Höri (B);
Bürchen, Post;
Todtnauberg, Rathaus;
Oberriet mobile Equipe;
Oberwinden (Elztal) Adler;
Bürchau, Haus, 42;
Brig mobile Equipe;
Küssnacht am Rigi, Räbmatt ZV;
BZ OST Zürich;
Obereggenen, Blauen;
Lörrach, Jugendherberge;
Schopfheim-Eichen Abzw.;
Watterdingen (D);
Zürich Uni Irchel;
Schopfheim, Eichen Hofacker;
AAGS Webshop;
Byfang (B);
Brig CCP Easy Billing;
Giswil 98;
Brombach, Römerstrasse;
UNO Linie 600, km 167.2;
Zofingen 95;
Unterjesingen Süd;
Formazza, foppiano;
Koblenz 98;
Eschenbach SG, Sternen BRER;
Loreglia;
Löwenberg Hayoz;
Roche-sur-Foron, La (FQ);
RBC GBT (Gotthard);
Genève système diagnostique;
Interlaken Ost 98;
Miami Airport;
SOB Plattform;
Bauma 97;
Bus VBL;
Burgdorfer Tunnel BDF-WY;
Bad Rappenau, Bahnhof;
Bern Aebimatte BLS;
Langenau, Inselstrasse;
Langensee Ost;
Wieden, Wiedenmatt;
Dübendorf Unterwerk (NOK);
Lauterach;
Villach Hbf Busbahnhof;
Lörrach, Teichstrasse;
Ibach (D) Rathaus;
Bad Bellingen, Thermalbad;
Unterseen, Dorf PAG;
Arcisate (FQ);
Kürnberg;
Bus BBA;
Corbéron (B);
Hésingue, Cigognes;
Faido Multifunktionsstelle W;
Winterthur 94;
Desio (FQ);
UNO Linie 600, km 110.2;
ECORT Testmigration 2;
Bahn WSB;
Spoccia, ponte Spoccia;
Weil am Rhein mobile Equipe;
Court équipe mobile;
HRG Zürich Altstetten        O;
Maschen RBF SA Lokbereich;
Macugnaga, pestarena;
Allmend Tunnel Portal Süd;
Voyagiste Plus Genève    BK  O;
Groisy-Thorens-la-Caille (FQ);
Bern-Adi-TUP-7-D;
Sitzenkirch, Engel;
Breisach(Rhein), Stadtbücherei;
München Flughafen Terminal 1;
Liel, Denkmal;
Mannheim Rheinstrasse 1;
Rumianca;
Schopfheim, Hegnestr.;
Oppenau-Ibach, Jägerhaus/Bhf;
Wald 97;
Sementina (bif);
Beuggen Abzw Karsau;
Solothurn Schöngrünunterführun;
Bons-en-Chablais (FQ);
Lörrach, Dorfstrasse;
Köln Nippes mobile Equipe;
Domodossola, via Torino;
Boncourt 94;
Wolfacher Tunnel ABS;
Sargans 98;
Cargiago;
RBC Ceneri (CBT);
Waldhof Anemonenweg 3;
Zürich HB Löwenstr West TC 1;
Rheinfelden mobile Equipe;
Hamburg-Altona SA Lokbereich;
Hüntwangen-Wil mobile Equipe;
PAG ISA Plattform;
Chur 95;
Egringen, Rathaus;
Wil SG, Weidle PAG;
Niederweningen 98;
Warmbach, Eichbergstrasse;
Zürich HB 94;
Kaiseraugst, Liebrüti AAGL;
Romont-Nespresso;
Delémont 96;
Buggingen (FQ);
Küssnacht a.R., Honegg ZVB;
Wald 96;
Oftringen Unterwerk;
Rho (FQ);
Premia (I);
Zürich Paradeplatz VBZ;
Faido Multifunktionsstelle O;
Berlin Bachstrasse;
Les Chavannes-sous-Romont PAG;
Moudon 95;
Etzwilen 95;
St. Gallen RPZ;
Langensee, ehem. Schule;
Entlebuch Schächlitunnel;
Haltingen, Im Rad Nord;
La Piana;
Verbania, staz. ferroviaria;
Bellinzona Piazza Indipendenza;
Bern MCS BLS-vhb;
Zürich Käferbergtunnel Nord;
Le Pont TRAVYS-pbr;
Annecy (FQ);
Bern P-IT-DM Zürich-Test;
Montfaucon, poste PAG;
Aarau 96;
Saint-Louis, Croisée de Lys;
Göschenen mobile Equipe;
Neuchâtel équipe mobile;
Übersaxen;
Tumringen, Mühlestrasse;
Buchs SG 97;
Vedasco;
Brünigpass              TCV;
Interlaken RPZ;
Rudersberg, Bahnhof;
Wetzikon 96;
Chur RPZ;
Herrenberg ZOB/Bahnhofstrasse;
AeS (fiktiv);
H.I.S. Travel Switzerland    O;
Haltingen SA Lokbereich;
Carlson Genève CERN;
Dallas;
Präg, Hinterdorf;
Bussigny VD, Rente PAG;
Bussnang SBB;
Bern P-F-CHS Support BUHA;
Schlechtbach, Eckhag;
Bern Holligen 96;
Wil SG, Rapp WIMO;
Sisikon (Df);
Wettingen 96;
Spiez, Lötschbergplatz PAG;
Rümmingen Bahnhof;
Suna, cimitero;
Bern MCS IT DaX C;
Novara Boschetto squadra mobil;
Combremont-le-Pt, village TPF;
Kleinkems, Rheinstrasse;
Neuchâtel 97;
Ossingen-Ost;
Swiss Holidays ZH Flughafen  O;
fairtiq TPF;
Zürich Brunnenhof (Spw);
Berikon 1;
Lunecco;
UNO Linie 133, km 6.1;
Les Reussilles, Les Gérin. CJ;
Winterspüren (D);
Boudevilliers, Jonchère PAG;
Villeneuve 94;
Bern T-Systems-TZCG 1.1;
Laufen 97;
Intragna, cambiesso;
ELAZ BDWM;
Bern P-FI-CSA;
Liggersdorf (D);
Ardon POST;
Monza (FQ);
Lyss, Beundengasse RBS;
Bettwiesen SBB;
Hausen an der Aach (D);
Erbach Horstweg;
Lyss, Stigli RBS;
Biel/Bienne DR;
Basel SBB RKZ;
Brombach, Gustav-Winkler-Sied;
Bad Camberg Limburgerstrasse;
Mönchengladbach SA Lokbereich;
Mortara squadra mobile;
ECORT Testfiliale 5 Sabre F;
Mendrisio, Banchette AMSA;
Ludwigshafen Südwest-Stadion;
TRN/tc DaX (fiktiv);
Löwenberg Furtal;
Luzern, Haldensteig PAG;
Bern B2P Webservice Prod;
AVA Webshop;
Zürich HB 97;
Bern SBB.CH B2C MMS;
UNO-Linie 445, km 21.9;
Laufenburg mobile Equipe;
Wetzikon 95;
transN Webshop;
Kerzers 94;
VBG_Automat;
Sedrun (c bin);
TSD-asdt (fiktiv);
Stockmatt;
Münster (Taunus) Ortsmitte;
Konstanz 98;
WETA DaX (fiktiv);
Zell im Wiesental, Schwarznau;
Salzburg Fanny-von-Lehnert-Str;
La Chaux-de-Fonds 95;
Hämiken (B);
Höllstein, Friedrichstrasse;
Zürich Herdern 96;
RBC Lavaux;
RMR Neuhausen                O;
Olten 98;
Suhr Möbel Pfister;
Neuweg, Cité Beaulieu;
Netstal mobile Equipe;
Bern T-Systems-TZCG 1.2;
Indi Tours Aeugst am Albis  BK;
Raich, Oberdorf;
Biel/Bienne SA Lok-Waschanl G;
Bus BOS-rtb;
Italtours Bern               O;
Crystal Holidays Kingston;
rts/fts Zollikofen E;
Köln Eifeltor mobile Equipe;
Dormello;
Cassarate, Terminale;
Pallanza, bar del Sole;
Legnano (FQ);
Zürich alle Ziele Zone 110;
Mundenheim Am Schwanen 1;
Wil SG, Rössli WIMO;
Niederselters In der Flusset;
Verbania, via belgio;
Rudersberg Nord;
Billens, village PAG;
St. Gallen Haggen 94;
Marin-Epagnier, Marin Cent.PA;
Lörrach, Karl-Herbster-Platz;
Blotzheim, Ecole des Missions;
Amriswil, Köpplishaus PAG;
Zürich HB Depot G Lok;
Zürich Oerlikon (Abzw);
Crêt-près-S,Champ-de-l'Egl.PA;
Reisebüro Buchs SG           O;
Induno Olona (FQ);
Genève 96;
Hertingen, Hauptstrasse;
Eimeldingen, Märkter Strasse;
Bus                     TCV;
Bus STI;
Reuchenette-Péry équipe mobile;
Pflanzschule (B);
Bern I-BF Betriebswehr;
Puidoux-Chexbres 95;
Bern-Adi-TUP-P2;
Porrentruy 97;
Schliengen, Eisenbahnstrasse;
UNO Linie 822, km 59.0;
Wiechs, Bachtalstr., /Röthweg;
Rapperswil Stützpunkt B & U;
Hauingen, Rathaus;
Hochdorf, Industriestrasse PA;
Schopfheim, Feldbergstr/Post;
Mittelheubronn;
Warmbach, Hertener, Strasse;
Andelfingen Ost;
Postbus A (fiktiv);
Riedlingen, Abzweigung Bad;
Lörrach, Senser Platz;
Im Steinriesel;
Oberwinterthur Pünte;
München Hbf Nord III;
Lörrach, Alter Markt;
Raithaslach (D);
Mornago;
St. Gallen Spisertor (Bus);
Bassecourt,garage St-Hubert C;
Bus AOT;
transN S&B distributeurs;
Delémont 98;
Perrignier (FQ);
American Express GBT         O;
Hasel;
Meiringen 95;
Le Brassus 97;
Gignese, piazza Marconi;
Biel Mett Unterwerk (BKW);
Giswil 96;
Indalo Space Fribourg       BK;
Bern MCS IT DaX B;
Lautenbach Kirche;
Saint-Louis, Place Europe;
Bus VLM;
Göfis;
Zoznegg (D);
Lörrach, Siedlungsstrasse;
Puidoux-Chexbres 98;
Nesslau-Neu St. Johann 96;
Pully, Ravessoud PAG;
Boncourt équipe mobile;
Altstätten SG 96;
Aathal Public Provider-Site;
Uttenhofen (D);
Payerne 97;
Ponte Maglio;
Soyhières Sud;
Vereina o Albula;
Schopfheim, Feldbergstr/Bühlm;
Bahn;
Hausen im Wiesental Bf;
Schönau, Brand;
EUROBUS Windisch;
Schopfheim, EDEKA;
Westerstetten, Bahnhof;
Wetzikon mobile Equipe;
Milano Greco smaltimento/Forn.;
BZ OST Limmat;
Zürich Herdern 98;
Brugg AG 97;
Railtour Suisse Genève RT A;
Kandern;
Carlson Zug;
Nienburg (Weser) mobile Equipe;
Schnottwil, Schulhaus RBS;
Utzenfeld, Schule;
ELAZ AAR;
Zürich, RAZ;
Bellinzona 95;
Löwenberg Déville;
Niederwinden (Elztal) Schule;
SVB lezzgo;
Bahn ASM-rvo;
Bern T-Systems-RL KTU;
Indalo Space Fribourg    BK  O;
Hésingue, Halliers;
Bahn WAB;
Yverdon MCS TRAVYS/ays;
Combremont-le-Petit, poste TP;
Bern Autorabattierung B2B;
Loechle, Schnockeloch;
Bad Krozingen, Nepomukbrücke;
Le Locle 94;
Bern P-IT-RF EPR 2;
Ambach (See);
Baden 95;
Basel Bad Rbf (Abzw);
Zug mobile Equipe;
Zollikofen mobile Equipe;
Lyss 95;
Huningue, Rue de l'Industrie;
Les Genevez JU, ch.TramelanPA;
Schwyz mobile Equipe;
Monthey équipe mobile;
Kaiserstuhl AG EW Kabine;
Rheinstetten-Forchh. Akazienw.;
Valle Vigezzo;
Istein, Neue Strasse;
Rank (B);
Mappach;
Rammingen (Württ), Bahnhof;
Piancavallo;
Avantix-Travel Moscow;
St. Gallen POST;
Albistunnel Nord;
Travel Agency St. Petersburg O;
Moudon 96;
Boltigen, Reidenbach BLS;
Nyon 94;
ECORT Testfiliale 7 Galileo D;
Meilen mobile Equipe;
